Plato,Componente,Ingredientes principales,Ingredientes normales,Fuente
Arroz Tapado a lo Pobre,Arroz,"Carne, carne picada","Manteca, Pasta de ajo, Sal, Arroz (añejo).",https://youtu.be/lt-47IbBpo4?list=TLGGNqtLVMiFgOwxODEyMjAyNQ
,Relleno,,"Manteca, Carne picada o molida, Sal, Pimienta molida, Comino molido, Cebolla, Pasta de ajo, Pasta de ají panca, Tomate, Pasas, Laurel, Caldo, Arvejas, Perejil, Culantrillo, Aceitunas, Orégano seco.",
,Armado,,"Plátano maduro, Huevo, Perejil.",
Seco de Pollo a la Norteña,Guiso (Seco),Pollo,"Pollo, Sal, Pimienta, Comino, Aceite, Cebolla, Ajo, Pasta de ají amarillo, Espinaca, Chicha de jora, Loche, Pimiento rojo, Cerveza negra, Cerveza rubia, Laurel, Zanahoria, Arvejita, Papa blanca.",https://youtu.be/PYkiEwJM9Hg?list=TLGGY21txzvvB_YxODEyMjAyNQ
,Arroz a la Jardinera,,"Mantequilla, Ajo, Palillo, Pasta de ají amarillo, Arroz costeño extra añejo, Laurel, Sal, Arvejita, Zanahoria, Choclo.",
Guiso de Trigo,Guiso,"Trigo, pescado","Trigo, Pasta de ají amarillo, Cebolla, Ajo, Camarón deshidratado, Queso fresco, Leche, Hierbabuena, Culantro, Aceite, Pimienta, Sal.",https://youtu.be/9eNAT_RE__A?list=TLGG62uP9MKI69cxODEyMjAyNQ
,Pescado,,"Filete de pescado (corvina), Ajo, Romero fresco, Pimienta negra, Sal, Aceite vegetal.",
,Chalaquita,,"Tomate, Cocona, Cebolla, Culantro, Limón, Ají charapita, Sal, Sazonador.",
Asado de Cerdo,Asado,"Cerdo, chancho, frijol, frejol","Carne de cerdo (pierna), Pimienta, Comino, Sal, Aceite vegetal, Ralladura de naranja, Romero, Canela.",https://youtu.be/RAD8pwYpjLw?list=TLGGyQAFJOFWSqwxODEyMjAyNQ
,Salsa,,"Pimiento, Tomate, Cebolla morada, Ajo, Pasta de ají amarillo, Ají panca, Sal, Pimienta, Cerveza rubia.",
,Ensalada,,"Frijoles, Perejil, Ajo, Orégano, Cebolla, Zanahoria, Tomate Cherry, Culantro, Ají limo, Sal, Limón.",
Ceviche de Pollo,Guiso (Ceviche),Pollo,"Piernas con entrepierna de pollo, Aceite vegetal, Sal, Comino, Pimienta, Cebolla roja, Ajo, Pasta de ají amarillo, Cerveza rubia, Caldo, Ají limo, Limón, Culantro.",https://youtu.be/0CnCzeoFSTA?list=TLGGGkDDXBHz7nsxODEyMjAyNQ
,Guarnición,,Camote amarillo.,
Aji de Gallina,Caldo,Pollo,"Zanahoria, Poro, Apio, Ajo, Sal, Pollo.",https://youtu.be/UdnT9ka7yAk?list=TLGGeO_lKgo0_z4xODEyMjAyNQ
,Crema,,"Aceite vegetal, Cebolla roja, Sal, Ajo, Comino, Pasta de ají amarillo (crudo), Pasta de ají mirasol, Pasta de ají panca, Pan, Caldo, Pollo desmenuzado, Leche evaporada, Queso parmesano, Nuez moscada.",
,Servicio,,"Papa amarilla o blanca, Arroz, Pecanas o nueces, Queso parmesano, Perejil, Aceitunas negras, Huevo duro.",
Arroz con Pato a la Chiclayana,Pato y Aderezo,Pato,"Pato hembra, Sal, Pimienta negra, Comino, Aceite, Grasa de pato, Cebolla, Ajo, Zapallo loche, Pasta de ají amarillo, Culantro licuado, Chicha de jora (o cerveza), Caldo de huesos.",https://youtu.be/exCFj-8KSKo?list=TLGGX6A_Wdz10z0xODEyMjAyNQ
,Arroz,,"Caldo de pato, Arroz, Zapallo loche, Arvejas, Sal, Pimiento.",
Asado Pejerrey con Pasta,Asado,"Pescado, pejerrey","Asado pejerrey, Sal, Pimienta negra, Aceite, Poro, Zanahoria, Apio, Ajo, Pasta de tomate, Pasta de ají panca, Hongos, Laurel, Vino tinto, Fondo/Caldo, Chuño.",https://youtu.be/8u_uxtjLB74?list=TLGGk_gGGIBHkU4xODEyMjAyNQ
,Pasta a la Crema,,"Mantequilla, Harina, Leche fresca, Crema de leche, Nuez moscada, Queso parmesano, Pasta (fetuccini).",
Carapulcra Chinchana,Carapulcra,"cerdo, chancho, pollo","Huesos de cerdo, Manteca de cerdo, Ajo, Comino, Pasta de ají panca, Caldo de chancho, Maní, Papa yungay, Pellejito de cerdo.",https://youtu.be/a7LaLKSi60I?list=TLGGe5UbT5B-Ts0xODEyMjAyNQ
,Sopa Seca,,"Albahaca, Caldo de pollo, Aceite vegetal, Semillas de achiote, Cebolla roja, Ajo, Pechuga de pollo, Pasta entrefino, Sal, Perejil.",
Arroz Chaufa de Pollo,Pollo,Pollo,"Pechuga de pollo, Caldo de pollo en polvo, Chuño/Maicena.",https://youtu.be/KsGQ7ELnd1M?list=TLGGSo6ShgZPg8cxODEyMjAyNQ
,Chaufa,,"Aceite, Kion, Huevo, Sal, Arroz (grano largo cocido), Azúcar, Salsa de soya (sillao), Cebolla china, Aceite de ajonjolí.",
Pollo Saltado,Saltado,Pollo,"Cebolla roja, Tomate, Ají amarillo, Pierna de pollo (con piel), Sal, Pimienta, Salsa de soya clara (sillao), Aceite vegetal, Vinagre, Salsa de ostión, Caldo de pollo, Culantro.",https://youtu.be/PPBTtb0gNbU?list=TLGGvznk1EZz8IsxODEyMjAyNQ
,Acompañamiento,,"Papas fritas, Arroz con choclo.",
Asado de Tira al Vino Tinto,Asado,"Carne, costilla","Asado de tira, Sal, Pimienta negra, Apio, Poro, Ajo, Zanahoria, Cebolla roja, Vino tinto, Harina, Tomillo, Mantequilla.",https://youtu.be/yA92FxmTI2c?list=TLGG9ueM4e3C8YIxODEyMjAyNQ
,Puré,,"Papa amarilla, Leche fresca entera, Mantequilla fría.",
Causa Acevichada,Masa de Causa,Pescado,"Papa amarilla, Aceite vegetal, Pasta de ají con ajo confitado, Jugo de limón, Sal.",https://youtu.be/c2WpDG4O1gI?list=TLGGK1frHjmevTUxODEyMjAyNQ
,Leche de Tigre,,"Mermas de pescado, Cebolla morada, Apio, Kion, Ajo, Ají limo, Sal, Agua de cebolla, Jugo de limón, Hielo, Tallo de culantro.",
,Ceviche,,"Lomito de pescado, Sal, Rocoto, Culantro, Ají limo, Cebolla, Jugo de limón, Mayonesa, Tomates, Palta, Alcaparras, Aceite de oliva.",
Escabeche de Pescado,Pescado,Pescado,"Bonito, Sal, Pimienta, Comino, Harina, Aceite.",https://youtu.be/PPx9veG6bAk?list=TLGGq4ou-CfiWDoxODEyMjAyNQ
,Salsa,,"Aceite, Ají amarillo, Ají panca, Pasta de ajo, Vinagre tinto, Sal, Comino, Orégano, Caldo de pescado (chilcano), Cebolla.",
Escabeche de Pollo,Pollo,Pollo,"Pollo, Salmuera, Jugo de limón, Comino, Pimienta, Harina, Aceite.",https://youtu.be/n_KcvQzoXCY?list=TLGGaSCUkpcZCM4xODEyMjAyNQ
,Salsa,,"Aceite de oliva, Ajo, Ají panca, Laurel, Orégano fresco, Vinagre tinto, Azúcar, Caldo de pollo, Ají amarillo, Cebolla morada, Huevo duro, Aceitunas.",
Pollo Saltado con Arvejas,Arvejitas,"Pollo, arvejitas","Arvejita partida, Cebolla, Tomate, Ajo, Tocino, Aceite, Pimienta, Sal.",https://youtu.be/sGXXA-BGdpo?list=TLGGBqmJX-5M6BMxODEyMjAyNQ
,Pollo Saltado,,"Pechuga de pollo, Pimienta, Comino, Ajo, Kion, Salsa preparada (sillao, vinagre, pisco, maicena), Cebolla, Ají amarillo, Tomate, Culantro.",
Lasaña de Carne,Salsa de Carne,"Carne, res, cerdo","Zanahoria, Carne de res, Carne de cerdo, Chorizo, Cebolla, Apio, Ajo, Puré de tomate, Vino tinto, Aceite, Albahaca, Perejil, Laurel, Orégano.",https://youtu.be/nbCf1sHh9CQ?list=TLGGcPFd8up9Gc8xODEyMjAyNQ
,Bechamel y Armado,,"Mantequilla, Harina, Leche, Nuez moscada, Laurel, Pasta de lasaña, Queso mozzarella.",
Locro de Zapallo,Locro,Zapallo,"Aceite, Cebolla roja, Pasta de ajo, Comino, Palillo/Cúrcuma, Pimienta, Pasta de ají amarillo, Zapallo macre, Zapallo loche, Papa blanca, Papa amarilla, Caldo, Guacatay, Choclo, Habas, Arvejitas, Queso fresco, Leche.",https://youtu.be/gJlw6cQQ1yE?list=TLGGvNRgmVdXLU4xODEyMjAyNQ
Pollo al Oregano,Pollo y Aderezo,Pollo,"Presas de pollo, Vinagre tinto, Sillao, Pimienta, Comino, Sal, Ajo molido, Orégano seco, Aceite, Caldo de pollo.",https://youtu.be/DjRYKq1GGFE?list=TLGG3ssUUJXZvQoxODEyMjAyNQ
,Aji (Salsa),,"Cebolla, Rocoto, Aceite, Sal, Limón.",
,Ensalada,,"Lechuga, Limón, Sal, Pimienta, Cebolla, Tomate, Queso.",
Milanesa de Pollo Rellena,Milanesa,Pollo,"Pechuga de pollo, Sal, Pimienta, Mostaza, Ajo, Orégano, Albahaca, Queso, Jamón, Tocino.",https://youtu.be/HQf47ue1_So?list=TLGG2IperiebiUcxODEyMjAyNQ
,Empanizado,,"Harina, Huevo, Pan molido.",
,Puré,,"Papa amarilla, Mantequilla, Leche evaporada, Sal.",
Papa Rellena,Masa,Papa,"Papa blanca, Papa amarilla, Sal, Huevo.",https://youtu.be/UR-Huz8KqJc?list=TLGGx56Gunh_2vYxODEyMjAyNQ
,Relleno,,"Carne molida, Aceite, Cebolla, Ají amarillo, Ají panca, Pasta de tomate, Sal, Pasas, Perejil, Huevo duro, Aceitunas.",
Pollo a la Naranja,Pollo,Pollo,"Pechuga o muslo, Sal, Pimienta, Chuño/Maicena, Polvo de hornear, Huevo, Harina.",https://youtu.be/idAX_HquG9c?list=TLGGiWXXUHANeNoxODEyMjAyNQ
,Salsa,,"Aceite, Ajo, Kion, Ají, Caldo de pollo, Azúcar, Sal, Sillao, Vinagre, Jugo de naranja, Ralladura de naranja, Aceite de ajonjolí, Chuño.",
Pollo a la Chiclayana,Guiso,Pollo,"Pollo, Sal, Pimienta, Comino, Ají amarillo, Cebolla, Zapallo loche, Ajo, Chicha de jora, Caldo, Culantro.",https://youtu.be/HTGQ__W5UDo?list=TLGGbf-WYqd1oH4xODEyMjAyNQ
Arroz con Pollo,Guiso,Pollo,"Pollo, Sal, Pimienta, Comino, Aceite, Cebolla, Ajo, Pasta de ají amarillo, Culantro, Pimiento, Cerveza negra, Caldo de pollo, Zanahoria, Arvejita, Choclo, Arroz.",https://youtu.be/FzgZagnHcqQ?list=TLGGQrZ1o6fYKucxODEyMjAyNQ
,Salsa Criolla,,"Cebolla, Tomate, Ají amarillo, Ají limo, Pepino, Palta, Aceite de oliva, Limón, Sal, Pimienta, Vinagre.",
Tallarines Verdes con Bistec,Bistec Apanado,"bistec, carne","Bistec, Sal, Comino, Pimienta, Ajo, Harina, Huevo, Pan rallado.",https://youtu.be/10hjaIq5JK8?list=TLGGetXDaLQtBukxODEyMjAyNQ
,Salsa Verde,,"Cebolla, Ajo, Aceite, Espinaca, Albahaca, Leche, Pecanas, Queso fresco, Queso parmesano, Crema de leche.",
Picante de Carne,Guiso,Carne,"Carne, Sal, Pimienta, Aceite, Cebolla, Ajo, Comino, Pasta de ají amarillo, Ají panca, Papa blanca, Zanahoria, Choclo blanco, Laurel, Arvejita, Perejil.",https://youtu.be/MUGZ5gxMmrw?list=TLGGGaHym7-ouRMxODEyMjAyNQ
Pollo al Vino con Pure,Pollo,Pollo,"Pollo, Ají panca, Ajo, Comino, Pimienta, Mostaza, Orégano, Vino tinto, Aceite, Caldo, Maicena.",https://youtu.be/m0sRQe8Useo?list=TLGGMIssOr4G6AIxODEyMjAyNQ
,Pure,,"Papa amarilla, Sal, Mantequilla, Leche fresca, Leche evaporada.",
Seco de Carne,Guiso,Carne,"Asado de tira, Sal, Pimienta, Comino, Aceite, Cebolla, Ajo, Ají amarillo, Ají panca, Culantro, Chicha de jora (o cerveza negra), Caldo de carne, Arvejita.",https://youtu.be/pM0ZOhVjC9g?list=TLGGdHDoYL7qBb0xODEyMjAyNQ
Asado de Pavita,Pavita,"Pavita, pavo","Pavo (muslo de pavita), Sal, Pasta de ají panca, Pimienta, Comino, Romero, Ajo, Vino tinto.",https://youtu.be/ETnh_6lsWA4?list=TLGGDlaPwamSyfIxODEyMjAyNQ
,Aderezo,,"Manteca/Aceite, Cebolla, Ajo, Pasta de ají panca, Hongos, Laurel, Caldo, Pasta de tomate, Papa amarilla.",
,Arroz,,"Manteca, Ajo, Sal, Choclo, Arroz.",
,Ensalada,,"Brocoli, Zanahoria, Vainitas, Sal.",
Estofado de Pollo,Fondo,Pollo,"Carcasa de aves, Cebolla, Ajo, Perejil, Laurel, Zanahoria, Apio.",https://youtu.be/HXpfoBcTLcc?list=TLGGh_xkr_NSSmUxODEyMjAyNQ
,Guiso,,"Pollo, Aceite, Cebolla, Ajo, Laurel, Hongo seco, Orégano, Sal, Comino, Pimienta, Ají panca, Pasta de tomate, Tomate rallado, Vino blanco, Papa, Zanahoria, Caldo, Pasa, Alverjita, Perejil.",
,Arroz,,"Aceite, Ajo, Sal, Arroz.",
Olluquito con Carne,Guiso,"Olluquito, carne","Charqui o Chalona, Carne de res, Sal, Aceite, Cebolla, Comino, Pimienta, Ajo, Ají panca, Ají amarillo, Olluco, Perejil.",https://youtu.be/rXV9unthudo?list=TLGGt-ORJi8saDsxODEyMjAyNQ
Tallarin Rojo con Pollo,Salsa,"Pollo, pasta","Pollo, Sal, Comino, Aceite, Cebolla, Ajo, Ají panca, Zanahoria, Tomate, Azúcar rubia.",https://youtu.be/AvZoC9AmPEY?list=TLGG6y9Tn10H6KwxODEyMjAyNQ
,Huancaina,,"Cebolla, Ajo, Queso fresco, Ají, Leche, Aceite.",
Arroz con Mariscos,Salsa y Mariscos,Mariscos,"Aceite, Cebolla, Pimiento, Tomate, Ajo, Carcasa de langostino, Vino blanco, Pimienta, Orégano, Ají amarillo, Chicha de jora, Calamar, Langostino, Concha, Sal, Limón, Pisco.",https://youtu.be/9hnB6JYiKdg?list=TLGGvRUR6SbaWOsxODEyMjAyNQ
,Arroz,,"Mantequilla, Salsa Madre, Pasta de ají amarillo, Orégano, Arroz, Caldo, Choclo, Zanahoria, Vainita, Arvejita, Zapallo loche, Queso parmesano, Limón.",
Pulpo al Olivo,Pulpo,Pulpo,"Pulpo, Poro, Cebolla, Tomate, Tomillo, Laurel, Sal.",https://youtu.be/6_jsc4uMGpc?list=TLGG6qmWVfRyveQxODEyMjAyNQ
,Mayonesa Base,,"Maicena, Sal, Aceite, Vinagre, Mostaza, Huevo.",
,Salsa Olivo,,"Aceituna negra, Queso crema, Mayonesa base, Pimienta.",
,Majadito,,"Papa amarilla, Vinagre, Aceite de oliva, Ají limo, Cibulette, Sal, Pimienta.",
Pollo Broaster,Marinada,Pollo,"Pollo, Yogur griego, Ajo en polvo, Cebolla en polvo, Paprika, Orégano, Mostaza, Sal, Pimienta.",https://youtu.be/AETwlgbX8cE?list=TLGGM0o4p_OOJ4YxODEyMjAyNQ
,Empanizado,,"Harina de trigo, Chuño, Paprika, Cebolla en polvo, Ajo en polvo, Orégano, Pimienta, Sal.",
Pollo al Mani,Guiso,Pollo,"Pollo, Sal, Pimienta, Aceite, Cebolla morada, Ajo, Ají panca, Maní, Vino blanco, Caldo.",https://youtu.be/UWAmvDJnN0I?list=TLGGWL15uHks4x4xODEyMjAyNQ
,Ensalada,,"Cebolla, Tomate, Pepino, Ají limo, Culantro, Limón, Sal, Pimienta, Palta.",
